 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     SPECIFIC HEAT COEFFICIENTS                                                                     

             Cp = A + B*T + C*T^2 + D*T^3 + E*T^4  [J/kg/K]                                                         

    Species                      Cp(298K)         Cp(1000K)          LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)             A(HT)           B(HT)            C(HT)            D(HT)           E(HT)      
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

    1. C3H6O2                   1.178770e+03     2.447232e+03     1.800000e+03     1.588761e+02     4.096704e+00    -2.484543e-03     7.740982e-07    -9.790444e-11     1.058522e+03     2.097492e+00    -8.185321e-04     1.570572e-07    -1.220431e-11
    2. C5H4O2                   9.881664e+02     2.087789e+03     1.000000e+03    -1.611752e+02     4.940534e+00    -4.121871e-03     1.712902e-06    -2.826024e-10     1.380655e+03     1.056527e+00    -3.629961e-04     5.661112e-08    -3.297405e-12
    3. CH3COOH                  1.055999e+03     2.321219e+03     1.000000e+03     3.862188e+02     1.384463e+00     4.743063e-03    -7.047762e-06     2.855236e-09     1.062062e+03     1.871247e+00    -7.280960e-04     1.236653e-07    -7.659027e-12
    4. C24H28O4                 6.684556e+02     1.276150e+03     1.398000e+03     1.185461e+02     2.183316e+00    -1.123158e-03    -9.400335e-08     1.914498e-10     1.083628e+03     1.845983e-01     8.417077e-05    -5.080481e-08     6.887849e-12
    5. C2H3CHO                  1.283932e+03     2.538888e+03     1.000000e+03     6.968299e+02     7.414648e-01     6.504385e-03    -9.089255e-06     3.685464e-09     1.217056e+03     1.905589e+00    -6.885493e-04     1.114851e-07    -6.692889e-12
    6. C6H5OCH3                 1.141881e+03     2.645783e+03     1.393000e+03    -4.158682e+02     6.714712e+00    -5.686800e-03     2.461955e-06    -4.282148e-10     1.568005e+03     1.607597e+00    -5.555192e-04     8.687963e-08    -5.067543e-12
    7. U2ME12                   1.451959e+03     3.068943e+03     1.391000e+03     2.687447e+00     6.029972e+00    -4.403031e-03     1.722309e-06    -2.829941e-10     1.669689e+03     2.075431e+00    -7.165792e-04     1.119475e-07    -6.523004e-12
    8. MLINO                    1.472250e+03     3.242057e+03     1.833000e+03    -4.482561e+01     6.198218e+00    -4.115491e-03     1.398588e-06    -1.944330e-10     1.480215e+03     2.570331e+00    -9.218959e-04     1.482307e-07    -8.823497e-12
    9. C2H4O2                   1.105282e+03     2.148313e+03     1.000000e+03     8.513921e+02    -8.263347e-01     8.251927e-03    -9.922521e-06     3.793849e-09     9.568427e+02     1.706877e+00    -6.069467e-04     9.734107e-08    -5.801375e-12
   10. C2H2O2                   1.040597e+03     1.871932e+03     1.000000e+03     6.710658e+02     6.848197e-02     6.108639e-03    -8.295240e-06     3.318985e-09     1.249987e+03     9.069990e-01    -3.374936e-04     5.584180e-08    -3.402330e-12
   11. CH3CHO                   1.255397e+03     2.556187e+03     1.000000e+03     8.926273e+02    -6.026934e-01     8.971632e-03    -1.084461e-05     4.139228e-09     1.019959e+03     2.212583e+00    -7.976648e-04     1.290446e-07    -7.735389e-12
   12. C6H6O3                   1.024181e+03     2.109442e+03     1.382000e+03     3.947968e+01     4.077712e+00    -2.887784e-03     1.025414e-06    -1.453793e-10     1.278328e+03     1.227179e+00    -4.161141e-04     6.431196e-08    -3.722137e-12
   13. C2H5CHO                  1.295600e+03     2.832998e+03     1.000000e+03     6.077369e+02     9.567024e-01     7.062396e-03    -9.619840e-06     3.826003e-09     1.065198e+03     2.538169e+00    -9.077216e-04     1.460769e-07    -8.724770e-12
   14. CH3OH                    1.339083e+03     2.791930e+03     1.000000e+03     1.468306e+03    -4.229198e+00     1.795485e-02    -1.967874e-05     7.276713e-09     9.152780e+02     2.677349e+00    -9.416577e-04     1.498399e-07    -8.879173e-12
   15. CH2O                     1.178406e+03     2.064667e+03     1.000000e+03     1.327424e+03    -2.743704e+00     1.033479e-02    -1.050274e-05     3.648900e-09     8.776697e+02     1.714953e+00    -6.232008e-04     1.013419e-07    -6.096131e-12
   16. CO                       1.040366e+03     1.183965e+03     1.000000e+03     1.062545e+03    -1.811768e-01     3.018302e-04     2.692348e-07    -2.684685e-10     9.049097e+02     4.012457e-01    -1.442027e-04     2.340684e-08    -1.394572e-12
   17. CO2                      8.436543e+02     1.234312e+03     1.000000e+03     4.452642e+02     1.697339e+00    -1.345546e-03     4.642490e-07    -2.699484e-11     8.759594e+02     5.179336e-01    -1.881514e-04     3.030128e-08    -1.730941e-12
   18. H2                       1.430307e+04     1.496188e+04     1.000000e+03     9.668577e+03     3.291356e+01    -8.033251e-02     8.313311e-05    -3.042086e-08     1.209583e+04     3.409127e+00    -6.037981e-04     6.355466e-08    -2.840794e-12
   19. H2O                      1.864380e+03     2.292242e+03     1.000000e+03     1.937796e+03    -9.398604e-01     3.009333e-03    -2.532843e-06     8.178163e-10     1.235534e+03     1.372212e+00    -3.571175e-04     4.358390e-08    -1.970271e-12
   20. HCOOH                    8.972390e+02     1.647163e+03     1.000000e+03     7.042429e+02    -6.428971e-01     6.416821e-03    -7.921539e-06     3.090536e-09     8.334933e+02     1.165133e+00    -4.138398e-04     6.632791e-08    -3.951501e-12
   21. C6H10O5                  1.056392e+03     2.345463e+03     1.000000e+03    -4.006146e+02     6.431670e+00    -5.962329e-03     2.793356e-06    -5.166184e-10     1.435051e+03     1.354626e+00    -4.685077e-04     7.329029e-08    -4.274925e-12
   22. C2H5OH                   1.417143e+03     3.102053e+03     1.000000e+03     8.768899e+02    -6.750206e-01     1.255325e-02    -1.600028e-05     6.347217e-09     1.184378e+03     2.744035e+00    -9.727211e-04     1.556176e-07    -9.256702e-12
   23. C2H4                     1.528235e+03     3.354139e+03     1.000000e+03     1.173402e+03    -2.243700e+00     1.692263e-02    -2.049685e-05     7.998652e-09     1.183072e+03     3.106999e+00    -1.101684e-03     1.762321e-07    -1.048067e-11
   24. CH4                      2.224367e+03     4.595925e+03     1.000000e+03     2.668586e+03    -7.080587e+00     2.547014e-02    -2.509662e-05     8.634408e-09     8.568215e+02     5.196246e+00    -1.718871e-03     2.780383e-07    -1.630951e-11
   25. C5H8O4                   1.007444e+03     2.292931e+03     1.000000e+03    -4.305906e+02     6.331776e+00    -5.816143e-03     2.704886e-06    -4.969982e-10     1.367534e+03     1.370740e+00    -4.717154e-04     7.354468e-08    -4.279725e-12
   26. C9H10O2                  1.184744e+03     2.525211e+03     1.400000e+03    -1.216697e+02     5.514101e+00    -4.259842e-03     1.642864e-06    -2.502429e-10     1.549616e+03     1.424556e+00    -4.755257e-04     7.272516e-08    -4.178499e-12
   27. C6H5OH                   1.097490e+03     2.473733e+03     1.000000e+03    -2.570665e+01     3.609466e+00     2.145289e-03    -6.312090e-06     3.056774e-09     1.250552e+03     1.761171e+00    -6.345148e-04     1.026831e-07    -6.158986e-12
   28. C11H12O4                 1.231057e+03     2.406096e+03     1.280000e+03    -1.235306e+02     6.008977e+00    -5.669236e-03     2.696460e-06    -5.065754e-10     1.193812e+03     1.892283e+00    -8.449842e-04     1.838293e-07    -1.582720e-11
   29. N2                       1.039626e+03     1.166660e+03     1.000000e+03     1.047991e+03    -3.670217e-02    -1.492886e-04     7.227908e-07    -4.181308e-10     8.763149e+02     4.145954e-01    -1.462114e-04     2.332852e-08    -1.367506e-12
   30. O2                       9.181008e+02     1.090161e+03     1.000000e+03     9.828455e+02    -7.786810e-01     2.558754e-03    -2.515619e-06     8.428607e-10     9.512757e+02     1.705522e-01    -3.667677e-05     5.347519e-09    -3.375712e-13
   31. CELL                     1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   32. CELLA                    1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   33. HCE                      1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   34. HCE1                     1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   35. HCE2                     1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   36. LIGC                     1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   37. LIGCC                    1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   38. LIGH                     1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   39. LIGOH                    1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   40. LIGO                     1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   41. LIG                      1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   42. CH4S                     1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   43. H2S                      1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   44. CO2S                     1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   45. COH2S                    1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   46. CH3OHS                   1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   47. C2H4S                    1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   48. COS                      1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   49. CHAR                     9.613050e+02     3.390225e+03     1.000000e+03    -6.977500e+01     3.460000e+00     0.000000e+00     0.000000e+00     0.000000e+00    -6.977500e+01     3.460000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   50. ASH                      1.798000e+03     2.500000e+03     1.000000e+03     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   51. ACQUA                    4.182944e+03     1.790598e+05     1.000000e+03     3.348746e+04    -3.057384e+02     1.182434e+00    -2.015003e-03     1.283879e-06     1.500000e+03     1.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00

 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                           ENTHALPY COEFFICIENTS                                                                     

             H/(RT) = A + B*T + C*T^2 + D*T^3 + E*T^4 + F/T  [-]                                                         

    Species                   H(298K)[J/kmol]  H(1000K)[J/kmol]      LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)           F(LT)             A(HT)            B(HT)            C(HT)           D(HT)             E(HT)            F(HT)      
   48. COS                     -6.481563e+07    -2.255980e+07     1.000000e+03     5.053243e+00     1.684414e-03     0.000000e+00     0.000000e+00     0.000000e+00    -9.450978e+03     5.053243e+00     1.684414e-03     0.000000e+00     0.000000e+00     0.000000e+00    -9.450978e+03
   49. CHAR                    -2.317537e+04     1.832227e+07     1.000000e+03    -1.007964e-01     2.499143e-03     0.000000e+00     0.000000e+00     0.000000e+00    -1.946839e+02    -1.007964e-01     2.499143e-03     0.000000e+00     0.000000e+00     0.000000e+00    -1.946839e+02
   50. ASH                     -7.247984e+07     7.856098e+07     1.000000e+03     1.806250e+01     6.020834e-03     0.000000e+00     0.000000e+00     0.000000e+00    -1.463462e+04     1.806250e+01     6.020834e-03     0.000000e+00     0.000000e+00     0.000000e+00    -1.463462e+04
   51. ACQUA                   -2.858397e+08     1.523394e+08     1.000000e+03     7.255750e+01    -3.312227e-01     8.539958e-04    -1.091480e-06     5.563580e-10    -4.188655e+04     3.250060e+00     1.083353e-03     0.000000e+00     0.000000e+00     0.000000e+00    -3.499474e+04

 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                             ENTROPY COEFFICIENTS                                                                     

             S/R = A*lnT + B*T + C*T^2 + D*T^3 + E*T^4 + F  [-]                                                         

    Species                 S(298K)[J/kmol/K] S(1000K)[J/kmol/K]     LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)           F(LT)             A(HT)            B(HT)            C(HT)           D(HT)             E(HT)            F(HT)      
 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

    1. C3H6O2                   3.372628e+05     4.975105e+05     1.800000e+03     1.415531e+00     3.650023e-02    -1.106821e-05     2.298983e-09    -2.180737e-13     2.254569e+01     9.431066e+00     1.868793e-02    -3.646420e-06     4.664419e-10    -2.718404e-14    -2.083605e+01
    2. C5H4O2                   3.257101e+05     5.064435e+05     1.000000e+03    -1.862600e+00     5.709464e-02    -2.381693e-05     6.598311e-09    -8.164646e-13     3.471799e+01     1.595536e+01     1.220961e-02    -2.097458e-06     2.180730e-10    -9.526508e-15    -5.968305e+01
    3. CH3COOH                  2.834393e+05     4.048343e+05     1.000000e+03     2.789502e+00     9.999417e-03     1.712861e-05    -1.696771e-08     5.155555e-12     1.410531e+01     7.670846e+00     1.351526e-02    -2.629372e-06     2.977282e-10    -1.382951e-14    -1.546773e+01
    4. C24H28O4                 7.815112e+05     1.231045e+06     1.398000e+03     5.424874e+00     9.991229e-02    -2.569883e-05    -1.433918e-09     2.190267e-12     3.561715e+01     4.958867e+01     8.447534e-03     1.925899e-06    -7.749717e-10     7.879994e-14    -1.934483e+02
    5. C2H3CHO                  3.077404e+05     4.362416e+05     1.000000e+03     4.698689e+00     4.999660e-03     2.192937e-05    -2.042946e-08     6.212725e-12     7.298120e+00     8.206549e+00     1.284929e-02    -2.321427e-06     2.505796e-10    -1.128245e-14    -1.498819e+01
    6. C6H5OCH3                 3.514300e+05     6.014585e+05     1.393000e+03    -5.408887e+00     8.733324e-02    -3.698198e-05     1.067360e-08    -1.392367e-12     5.006961e+01     2.039387e+01     2.090882e-02    -3.612611e-06     3.766595e-10    -1.647744e-14    -8.629205e+01
    7. U2ME12                   6.756736e+05     1.247526e+06     1.391000e+03     6.797983e-02     1.525301e-01    -5.568804e-05     1.452212e-08    -1.789607e-12     3.999873e+01     4.223531e+01     5.249870e-02    -9.063051e-06     9.439160e-10    -4.125037e-14    -1.862700e+02
    8. MLINO                    9.180968e+05     1.750738e+06     1.833000e+03    -1.587619e+00     2.195265e-01    -7.288059e-05     1.651159e-08    -1.721591e-12     6.009628e+01     5.242580e+01     9.103516e-02    -1.632571e-05     1.749996e-09    -7.812695e-14    -2.278792e+02
    9. C2H4O2                   3.092068e+05     4.251808e+05     1.000000e+03     6.149261e+00    -5.968281e-03     2.980017e-05    -2.388879e-08     6.850360e-12     1.866446e+00     6.910888e+00     1.232808e-02    -2.191865e-06     2.343517e-10    -1.047525e-14    -6.961326e+00
   10. C2H2O2                   2.724515e+05     3.754589e+05     1.000000e+03     4.684125e+00     4.780128e-04     2.131954e-05    -1.930061e-08     5.791733e-12     4.511872e+00     8.725069e+00     6.330968e-03    -1.177874e-06     1.299276e-10    -5.937173e-15    -2.039039e+01
   11. CH3CHO                   2.639228e+05     3.631512e+05     1.000000e+03     4.729459e+00    -3.193286e-03     2.376746e-05    -1.915287e-08     5.482778e-12     4.103016e+00     5.404111e+00     1.172306e-02    -2.113157e-06     2.279082e-10    -1.024622e-14    -3.480792e+00
   12. C6H6O3                   4.108460e+05     6.493702e+05     1.382000e+03     5.988146e-01     6.184938e-02    -2.190047e-05     5.184378e-09    -5.512663e-13     2.938280e+01     1.938925e+01     1.861345e-02    -3.155740e-06     3.251541e-10    -1.411404e-14    -7.167865e+01
   13. C2H5CHO                  2.888045e+05     4.312274e+05     1.000000e+03     4.245297e+00     6.682967e-03     2.466690e-05    -2.239954e-08     6.681559e-12     6.907386e+00     7.440857e+00     1.773018e-02    -3.170408e-06     3.401360e-10    -1.523654e-14    -1.441954e+01
   14. CH3OH                    2.406329e+05     3.177823e+05     1.000000e+03     5.658511e+00    -1.629834e-02     3.459691e-05    -2.527910e-08     7.010689e-12    -8.973305e-01     3.527268e+00     1.031788e-02    -1.814465e-06     1.924827e-10    -8.554566e-15     5.167587e+00
   15. CH2O                     2.187450e+05     2.753817e+05     1.000000e+03     4.793723e+00    -9.908333e-03     1.866100e-05    -1.264284e-08     3.294316e-12     6.027981e-01     3.169527e+00     6.193206e-03    -1.125282e-06     1.219919e-10    -5.503736e-15     6.042079e+00
   16. CO                       1.976416e+05     2.345446e+05     1.000000e+03     3.579534e+00    -6.103537e-04     5.084071e-07     3.023353e-10    -2.261061e-13     3.508409e+00     3.048486e+00     1.351728e-03    -2.428970e-07     2.628455e-11    -1.174519e-15     6.017098e+00
   17. CO2                      2.137675e+05     2.692860e+05     1.000000e+03     2.356813e+00     8.984130e-03    -3.561032e-06     8.191003e-10    -3.572137e-14     9.900904e+00     4.636511e+00     2.741457e-03    -4.979488e-07     5.346222e-11    -2.290496e-15    -1.934896e+00
   18. H2                       1.306658e+05     1.662357e+05     1.000000e+03     2.344331e+00     7.980521e-03    -9.739075e-06     6.719070e-09    -1.844029e-12     6.830102e-01     2.932866e+00     8.266080e-04    -7.320118e-08     5.136680e-12    -1.722012e-16    -1.024329e+00
   19. H2O                      1.888111e+05     2.327350e+05     1.000000e+03     4.198635e+00    -2.036402e-03     3.260171e-06    -1.829309e-09     4.429920e-13    -8.490090e-01     2.677039e+00     2.973182e-03    -3.868844e-07     3.147784e-11    -1.067250e-15     6.882550e+00
   20. HCOOH                    2.471262e+05     3.171156e+05     1.000000e+03     3.898362e+00    -3.558779e-03     1.776027e-05    -1.461665e-08     4.276942e-12     7.349540e+00     4.613832e+00     6.449636e-03    -1.145413e-06     1.223868e-10    -5.468419e-15     8.478838e-01
   21. C6H10O5                  4.755579e+05     8.147471e+05     1.000000e+03    -7.812417e+00     1.254245e-01    -5.813593e-05     1.815782e-08    -2.518654e-12     6.903009e+01     2.798504e+01     2.641667e-02    -4.568204e-06     4.764133e-10    -2.084141e-14    -1.177544e+02
   22. C2H5OH                   2.805584e+05     4.044376e+05     1.000000e+03     4.858696e+00    -3.740173e-03     3.477769e-05    -2.955160e-08     8.792209e-12     4.801855e+00     6.562436e+00     1.520422e-02    -2.694840e-06     2.874167e-10    -1.282245e-14    -9.473020e+00
   23. C2H4                     2.192996e+05     3.003154e+05     1.000000e+03     3.959201e+00    -7.570514e-03     2.854950e-05    -2.305295e-08     6.747105e-12     4.097302e+00     3.991827e+00     1.048339e-02    -1.858607e-06     1.982095e-10    -8.840760e-15    -2.690818e-01
   24. CH4                      1.863520e+05     2.483061e+05     1.000000e+03     5.149115e+00    -1.366220e-02     2.457270e-05    -1.614156e-08     4.165086e-12    -4.638488e+00     1.653262e+00     1.002631e-02    -1.658306e-06     1.788277e-10    -7.867419e-15     9.905063e+00
   25. C5H8O4                   4.390471e+05     7.070137e+05     1.000000e+03    -6.841991e+00     1.006106e-01    -4.620863e-05     1.432669e-08    -1.974298e-12     6.554269e+01     2.172982e+01     2.178077e-02    -3.747728e-06     3.895363e-10    -1.700097e-14    -8.357525e+01
   26. C9H10O2                  4.562644e+05     7.947460e+05     1.400000e+03    -2.197615e+00     9.959648e-02    -3.847093e-05     9.891216e-09    -1.129981e-12     4.087979e+01     2.798938e+01     2.573053e-02    -4.294507e-06     4.378574e-10    -1.886816e-14    -1.197036e+02
   27. C6H5OH                   3.151860e+05     5.212868e+05     1.000000e+03    -2.909786e-01     4.085624e-02     1.214147e-05    -2.381592e-08     8.650054e-12     2.687456e+01     1.415524e+01     1.993503e-02    -3.591098e-06     3.874300e-10    -1.742869e-14    -5.179849e+01
   28. C11H12O4                 5.622456e+05     1.027653e+06     1.280000e+03    -3.093487e+00     1.504784e-01    -7.098526e-05     2.250849e-08    -3.171450e-12     4.613705e+01     2.989575e+01     4.738705e-02    -1.058016e-05     1.534501e-09    -9.908727e-14    -1.211607e+02
   29. N2                       1.915940e+05     2.281754e+05     1.000000e+03     3.531005e+00    -1.236610e-04    -2.514997e-07     8.117687e-10    -3.522031e-13     2.967470e+00     2.952576e+00     1.396900e-03    -2.463158e-07     2.620034e-11    -1.151888e-15     5.871888e+00
   30. O2                       2.051335e+05     2.435864e+05     1.000000e+03     3.782456e+00    -2.996734e-03     4.923651e-06    -3.227098e-09     8.109321e-13     3.657676e+00     3.660961e+00     6.563658e-04    -7.057481e-08     6.859931e-12    -3.247836e-16     3.415363e+00
   31. CELL                     1.433917e+06     1.842186e+06     1.000000e+03     2.925162e+01     1.950108e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     2.925162e+01     1.950108e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   32. CELLA                    1.433917e+06     1.842186e+06     1.000000e+03     2.925162e+01     1.950108e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     2.925162e+01     1.950108e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   33. HCE                      1.168378e+06     1.501042e+06     1.000000e+03     2.383467e+01     1.588978e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     2.383467e+01     1.588978e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   34. HCE1                     1.168378e+06     1.501042e+06     1.000000e+03     2.383467e+01     1.588978e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     2.383467e+01     1.588978e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   35. HCE2                     1.168378e+06     1.501042e+06     1.000000e+03     2.383467e+01     1.588978e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     2.383467e+01     1.588978e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   36. LIGC                     2.284073e+06     2.934403e+06     1.000000e+03     4.659465e+01     3.106310e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     4.659465e+01     3.106310e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   37. LIGCC                    2.284073e+06     2.934403e+06     1.000000e+03     4.659465e+01     3.106310e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     4.659465e+01     3.106310e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   38. LIGH                     3.859869e+06     4.958864e+06     1.000000e+03     7.874057e+01     5.249371e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     7.874057e+01     5.249371e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   39. LIGOH                    3.346230e+06     4.298980e+06     1.000000e+03     6.826244e+01     4.550829e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     6.826244e+01     4.550829e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   40. LIGO                     3.735430e+06     4.798995e+06     1.000000e+03     7.620204e+01     5.080136e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     7.620204e+01     5.080136e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   41. LIG                      1.841361e+06     2.365640e+06     1.000000e+03     3.756340e+01     2.504227e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     3.756340e+01     2.504227e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   42. CH4S                     1.418785e+05     1.822747e+05     1.000000e+03     2.894294e+00     1.929529e-03     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     2.894294e+00     1.929529e-03     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   43. H2S                      1.782878e+04     2.290505e+04     1.000000e+03     3.637036e-01     2.424691e-04     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     3.637036e-01     2.424691e-04     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   44. CO2S                     3.891998e+05     5.000141e+05     1.000000e+03     7.939599e+00     5.293066e-03     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     7.939599e+00     5.293066e-03     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   45. COH2S                    2.655391e+05     3.411444e+05     1.000000e+03     5.416947e+00     3.611298e-03     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     5.416947e+00     3.611298e-03     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   46. CH3OHS                   2.833679e+05     3.640494e+05     1.000000e+03     5.780650e+00     3.853767e-03     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     5.780650e+00     3.853767e-03     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   47. C2H4S                    2.480995e+05     3.187392e+05     1.000000e+03     5.061181e+00     3.374121e-03     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     5.061181e+00     3.374121e-03     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   48. COS                      2.477104e+05     3.182393e+05     1.000000e+03     5.053243e+00     3.368829e-03     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     5.053243e+00     3.368829e-03     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   49. CHAR                     7.609753e+03     3.576889e+04     1.000000e+03    -1.007964e-01     4.998286e-03     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00    -1.007964e-01     4.998286e-03     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   50. ASH                      8.854252e+05     1.137527e+06     1.000000e+03     1.806250e+01     1.204167e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.806250e+01     1.204167e-02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
