------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	C         12.01099968
  2.	H          1.00800002
  3.	O         15.99899960
  4.	N         14.00699997
------------------------------


--------------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       O       N
   31. C2H5                  G      0           29.061999    300.00   3500.00       2       5       0       0
   32. C2H4                  G      0           28.053999    300.00   3500.00       2       4       0       0
   33. C2H3                  G      0           27.045999    300.00   3500.00       2       3       0       0
   34. C2H2                  G      0           26.037999    300.00   3500.00       2       2       0       0
   35. C2H                   G      0           25.029999    300.00   3500.00       2       1       0       0
   36. CH3CHO                G      0           44.052999    300.00   3500.00       2       4       1       0
   37. CH3CO                 G      0           43.044999    300.00   3500.00       2       3       1       0
   38. CH2CHO                G      0           43.044999    300.00   3500.00       2       3       1       0
   39. CH2CO                 G      0           42.036999    300.00   3500.00       2       2       1       0
   40. HCCO                  G      0           41.028999    300.00   3500.00       2       1       1       0
   41. HCOOH                 G      0           46.024999    300.00   3500.00       1       2       2       0
   42. CH2OHCHO              G      0           60.051999    300.00   3500.00       2       4       2       0
   43. CHOCHO                G      0           58.035999    300.00   3500.00       2       2       2       0
   44. NC3H7                 G      0           43.088999    300.00   3500.00       3       7       0       0
   45. C3H6                  G      0           42.080999    298.00   3500.00       3       6       0       0
   46. C3H5-A                G      0           41.072999    298.00   3500.00       3       5       0       0
   47. C3H5O                 G      0           57.071999    300.00   3500.00       3       5       1       0
   48. C3H4-P                G      0           40.064999    300.00   3500.00       3       4       0       0
   49. C3H4-A                G      0           40.064999    300.00   3500.00       3       4       0       0
   50. C3H3                  G      0           39.056999    300.00   3500.00       3       3       0       0
   51. C3H2                  G      0           38.048999    300.00   3500.00       3       2       0       0
   52. C2H3CHO               G      0           56.063999    300.00   3500.00       3       4       1       0
   53. PC4H9                 G      0           57.115999    300.00   3500.00       4       9       0       0
   54. C4H8-1                G      0           56.107999    300.00   3500.00       4       8       0       0
   55. C4H71-3               G      0           55.099999    300.00   3500.00       4       7       0       0
   56. C4H6                  G      0           54.091999    200.00   3500.00       4       6       0       0
   57. C4H3                  G      0           51.067999    300.00   3500.00       4       3       0       0
   58. C4H2                  G      0           50.059999    300.00   3500.00       4       2       0       0
   59. C5H6                  G      0           66.102998    200.00   3500.00       5       6       0       0
   60. C5H5                  G      0           65.094998    300.00   3500.00       5       5       0       0
   61. CH2OHCH2CHO           G      0           74.078998    300.00   3500.00       3       6       2       0
   62. C4H6O2                G      0           86.089998    300.00   3500.00       4       6       2       0
   63. C5H7                  G      0           67.110999    300.00   3500.00       5       7       0       0
   64. CYC6H8                G      0           80.129998    300.00   3500.00       6       8       0       0
   65. C6H5O                 G      0           93.104998    100.00   3500.00       6       5       1       0
   66. CYC5H4O               G      0           80.085998    300.00   3500.00       5       4       1       0
   67. C5H5O                 G      0           81.093998    300.00   3500.00       5       5       1       0
   68. INDENYL               G      0          115.154997    200.00   3500.00       9       7       0       0
   69. C10H7OH               G      0          144.172997    300.00   3500.00      10       8       1       0
   70. C10H7O                G      0          143.164997    200.00   3500.00      10       7       1       0
   71. C3H4O3                G      0           88.061998    300.00   3500.00       3       4       3       0
   72. FURFURAL              G      0           96.084998    300.00   3500.00       5       4       2       0
   73. C4H3O                 G      0           67.066998    300.00   3500.00       4       3       1       0
   74. C6H10O5               G      0          162.140996    300.00   3500.00       6      10       5       0
   75. C6H8O4                G      0          144.125997    300.00   3500.00       6       8       4       0
   76. C6H6O3                G      0          126.110997    300.00   3500.00       6       6       3       0
   77. C7H6O3                G      0          138.121997    300.00   3500.00       7       6       3       0
   78. RC7H5O3               G      0          137.113997    300.00   3500.00       7       5       3       0
   79. MACRIL                G      0           86.089998    300.00   3500.00       4       6       2       0
   80. MCROT                 G      0          100.116998    300.00   3500.00       5       8       2       0
   81. MLINO                 G      0          294.478994    300.00   3500.00      19      34       2       0
   82. RMBX                  G      0          101.124998    300.00   3500.00       5       9       2       0
   83. RME7                  G      0          143.205997    300.00   3500.00       8      15       2       0
   84. RMLINA                G      0          293.470994    300.00   3500.00      19      33       2       0
   85. RMLINX                G      0          293.470994    300.00   3500.00      19      33       2       0
   86. CH3COCH3              G      0           58.079999    300.00   3500.00       3       6       1       0
   87. FURAN                 G      0           68.074998    300.00   3500.00       4       4       1       0
--------------------------------------------------------------------------------------------------------------

--------------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       O       N
--------------------------------------------------------------------------------------------------------------
   19. O                     G      0           15.999000    200.00   3500.00       0       0       1       0
   16. H2                    G      0            2.016000    200.00   3500.00       0       2       0       0
   22. H2O2                  G      0           34.013999    200.00   3500.00       0       2       2       0
   20. H2O                   G      0           18.015000    200.00   3500.00       0       2       1       0
   17. H                     G      0            1.008000    200.00   3500.00       0       1       0       0
   23. HO2                   G      0           33.005999    200.00   3500.00       0       1       2       0
   21. OH                    G      0           17.007000    200.00   3500.00       0       1       1       0
   18. O2                    G      0           31.997999    200.00   3500.00       0       0       2       0
   15. N2                    G      0           28.014000    200.00   3500.00       0       0       0       2
   30. HCO                   G      0           29.017999    200.00   3500.00       1       1       1       0
   26. CH3                   G      0           15.035000    300.00   3500.00       1       3       0       0
   29. CH2O                  G      0           30.025999    300.00   3500.00       1       2       1       0
   24. CO                    G      0           28.009999    200.00   3500.00       1       0       1       0
   25. CO2                   G      0           44.008999    200.00   3500.00       1       0       2       0
    1. CH4                   G      0           16.043000    300.00   3500.00       1       4       0       0
    3. HOCHO                 G      0           46.024999    200.00   3500.00       1       2       2       0
   41. HCOOH                 G      0           46.024999    300.00   3500.00       1       2       2       0
    2. CH3OH                 G      0           32.041999    300.00   3500.00       1       4       1       0
   28. CH2OH                 G      0           31.033999    300.00   3500.00       1       3       1       0
   27. CH3O                  G      0           31.033999    300.00   3500.00       1       3       1       0
   33. C2H3                  G      0           27.045999    300.00   3500.00       2       3       0       0
   36. CH3CHO                G      0           44.052999    300.00   3500.00       2       4       1       0
    7. CH3CO2H               G      0           60.051999    300.00   3500.00       2       4       2       0
   42. CH2OHCHO              G      0           60.051999    300.00   3500.00       2       4       2       0
   32. C2H4                  G      0           28.053999    300.00   3500.00       2       4       0       0
   31. C2H5                  G      0           29.061999    300.00   3500.00       2       5       0       0
    5. C2H5OH                G      0           46.068999    300.00   3500.00       2       6       1       0
    4. C2H6                  G      0           30.069999    300.00   3500.00       2       6       0       0
   40. HCCO                  G      0           41.028999    300.00   3500.00       2       1       1       0
   38. CH2CHO                G      0           43.044999    300.00   3500.00       2       3       1       0
   39. CH2CO                 G      0           42.036999    300.00   3500.00       2       2       1       0
   37. CH3CO                 G      0           43.044999    300.00   3500.00       2       3       1       0
   34. C2H2                  G      0           26.037999    300.00   3500.00       2       2       0       0
   43. CHOCHO                G      0           58.035999    300.00   3500.00       2       2       2       0
   35. C2H                   G      0           25.029999    300.00   3500.00       2       1       0       0
   61. CH2OHCH2CHO           G      0           74.078998    300.00   3500.00       3       6       2       0
   86. CH3COCH3              G      0           58.079999    300.00   3500.00       3       6       1       0
   47. C3H5O                 G      0           57.071999    300.00   3500.00       3       5       1       0
   46. C3H5-A                G      0           41.072999    298.00   3500.00       3       5       0       0
   45. C3H6                  G      0           42.080999    298.00   3500.00       3       6       0       0
    6. C2H5CHO               G      0           58.079999    300.00   3500.00       3       6       1       0
   51. C3H2                  G      0           38.048999    300.00   3500.00       3       2       0       0
   48. C3H4-P                G      0           40.064999    300.00   3500.00       3       4       0       0
   44. NC3H7                 G      0           43.088999    300.00   3500.00       3       7       0       0
   52. C2H3CHO               G      0           56.063999    300.00   3500.00       3       4       1       0
   49. C3H4-A                G      0           40.064999    300.00   3500.00       3       4       0       0
   50. C3H3                  G      0           39.056999    300.00   3500.00       3       3       0       0
   71. C3H4O3                G      0           88.061998    300.00   3500.00       3       4       3       0
   55. C4H71-3               G      0           55.099999    300.00   3500.00       4       7       0       0
   56. C4H6                  G      0           54.091999    200.00   3500.00       4       6       0       0
   79. MACRIL                G      0           86.089998    300.00   3500.00       4       6       2       0
   54. C4H8-1                G      0           56.107999    300.00   3500.00       4       8       0       0
   53. PC4H9                 G      0           57.115999    300.00   3500.00       4       9       0       0
   73. C4H3O                 G      0           67.066998    300.00   3500.00       4       3       1       0
   62. C4H6O2                G      0           86.089998    300.00   3500.00       4       6       2       0
   87. FURAN                 G      0           68.074998    300.00   3500.00       4       4       1       0
   57. C4H3                  G      0           51.067999    300.00   3500.00       4       3       0       0
   58. C4H2                  G      0           50.059999    300.00   3500.00       4       2       0       0
   66. CYC5H4O               G      0           80.085998    300.00   3500.00       5       4       1       0
   72. FURFURAL              G      0           96.084998    300.00   3500.00       5       4       2       0
   80. MCROT                 G      0          100.116998    300.00   3500.00       5       8       2       0
   10. C5H8O4                G      0          132.114997    300.00   3500.00       5       8       4       0
   63. C5H7                  G      0           67.110999    300.00   3500.00       5       7       0       0
   82. RMBX                  G      0          101.124998    300.00   3500.00       5       9       2       0
   60. C5H5                  G      0           65.094998    300.00   3500.00       5       5       0       0
   59. C5H6                  G      0           66.102998    200.00   3500.00       5       6       0       0
   67. C5H5O                 G      0           81.093998    300.00   3500.00       5       5       1       0
   65. C6H5O                 G      0           93.104998    100.00   3500.00       6       5       1       0
    8. C6H5OH                G      0           94.112998    300.00   3500.00       6       6       1       0
   75. C6H8O4                G      0          144.125997    300.00   3500.00       6       8       4       0
   64. CYC6H8                G      0           80.129998    300.00   3500.00       6       8       0       0
   74. C6H10O5               G      0          162.140996    300.00   3500.00       6      10       5       0
   76. C6H6O3                G      0          126.110997    300.00   3500.00       6       6       3       0
   78. RC7H5O3               G      0          137.113997    300.00   3500.00       7       5       3       0
   12. C6H5OCH3              G      0          108.139997    300.00   3500.00       7       8       1       0
    9. CRESOL                G      0          108.139997    300.00   3500.00       7       8       1       0
   77. C7H6O3                G      0          138.121997    300.00   3500.00       7       6       3       0
   11. VANILLIN              G      0          152.148996    300.00   3500.00       8       8       3       0
   83. RME7                  G      0          143.205997    300.00   3500.00       8      15       2       0
   68. INDENYL               G      0          115.154997    200.00   3500.00       9       7       0       0
   69. C10H7OH               G      0          144.172997    300.00   3500.00      10       8       1       0
   70. C10H7O                G      0          143.164997    200.00   3500.00      10       7       1       0
   14. U2ME12                G      0          210.316995    300.00   3500.00      13      22       2       0
   85. RMLINX                G      0          293.470994    300.00   3500.00      19      33       2       0
   84. RMLINA                G      0          293.470994    300.00   3500.00      19      33       2       0
   81. MLINO                 G      0          294.478994    300.00   3500.00      19      34       2       0
   13. C24H28O4              G      0          380.483991    300.00   3500.00      24      28       4       0
--------------------------------------------------------------------------------------------------------------

------------------------------------------------------------------------------------------------------------------
  Species                  Shape       eps/kb          sigma             mu           alfa        zRot298         
------------------------------------------------------------------------------------------------------------------
    1. CH4                   2       141.4000         3.7460         0.0000         2.6000        13.0000
    2. CH3OH                 2       481.8000         3.6260         0.0000         0.0000         1.0000
    3. HOCHO                 2       436.0000         3.9700         0.0000         0.0000         2.0000
    4. C2H6                  2       247.5000         4.3500         0.0000         0.0000         1.5000
    5. C2H5OH                2       470.6000         4.4100         0.0000         0.0000         1.5000
    6. C2H5CHO               2       435.2000         4.6620         2.7000         0.0000         1.0000
    7. CH3CO2H               2       436.0000         3.9700         0.0000         0.0000         2.0000
    8. C6H5OH                2       450.0000         5.5000         0.0000         0.0000         1.0000
    9. CRESOL                2       621.1000         5.6400         0.0000         0.0000         1.0000
   10. C5H8O4                2       568.5000         5.2300         0.0000        10.3000         1.0000
   11. VANILLIN              2       450.0000         5.5000         0.0000         0.0000         1.0000
   12. C6H5OCH3              2       450.0000         5.5000         0.0000         0.0000         1.0000
   13. C24H28O4              2       750.0000         8.3500         0.0000         0.0000         1.0000
   14. U2ME12                2       620.0000         8.0000         0.0000         0.0000         1.0000
   15. N2                    1        97.5300         3.6210         0.0000         1.7600         4.0000
   16. H2                    1        38.0000         2.9200         0.0000         0.7900       280.0000
   17. H                     0       145.0000         2.0500         0.0000         0.0000         0.0000
   18. O2                    1       107.4000         3.4580         0.0000         1.6000         3.8000
   19. O                     0        80.0000         2.7500         0.0000         0.0000         0.0000
   20. H2O                   2       572.4000         2.6050         1.8440         0.0000         4.0000
   21. OH                    1        80.0000         2.7500         0.0000         0.0000         0.0000
   22. H2O2                  2       107.4000         3.4580         0.0000         0.0000         3.8000
   23. HO2                   2       107.4000         3.4580         0.0000         0.0000         1.0000
   24. CO                    1        98.1000         3.6500         0.0000         1.9500         1.8000
   25. CO2                   1       244.0000         3.7630         0.0000         2.6500         2.1000
   26. CH3                   1       144.0000         3.8000         0.0000         0.0000         0.0000
   27. CH3O                  2       417.0000         3.6900         1.7000         0.0000         2.0000
   28. CH2OH                 2       417.0000         3.6900         1.7000         0.0000         2.0000
   29. CH2O                  2       498.0000         3.5900         0.0000         0.0000         2.0000
   30. HCO                   2       498.0000         3.5900         0.0000         0.0000         0.0000
   31. C2H5                  2       247.5000         4.3500         0.0000         0.0000         1.5000
   32. C2H4                  2       238.4000         3.4960         0.0000         0.0000         1.5000
   33. C2H3                  2       265.3000         3.7210         0.0000         0.0000         1.0000
   34. C2H2                  1       265.3000         3.7210         0.0000         0.0000         2.5000
   35. C2H                   1       265.3000         3.7210         0.0000         0.0000         2.5000
   36. CH3CHO                2       436.0000         3.9700         0.0000         0.0000         2.0000
   37. CH3CO                 2       436.0000         3.9700         0.0000         0.0000         2.0000
   38. CH2CHO                2       436.0000         3.9700         0.0000         0.0000         2.0000
   39. CH2CO                 2       436.0000         3.9700         0.0000         0.0000         2.0000
   40. HCCO                  2       150.0000         2.5000         0.0000         0.0000         1.0000
   41. HCOOH                 2       470.6000         3.8550         0.0000         0.0000         1.0000
   42. CH2OHCHO              2       496.0000         5.2000         0.0000         0.0000         1.0000
   43. CHOCHO                1       440.2000         4.0100         0.0000         0.0000         2.0000
   44. NC3H7                 2       303.4000         4.8100         0.0000         0.0000         1.0000
   45. C3H6                  2       307.8000         4.1400         0.0000         0.0000         1.0000
   46. C3H5-A                2       316.0000         4.2200         0.0000         0.0000         1.0000
   47. C3H5O                 2       411.0000         4.8200         0.0000         0.0000         1.0000
   48. C3H4-P                1       324.8000         4.2900         0.0000         0.0000         1.0000
   49. C3H4-A                1       324.8000         4.2900         0.0000         0.0000         1.0000
   50. C3H3                  1       324.8000         4.2900         0.0000         0.0000         1.0000
   51. C3H2                  2       209.0000         4.1000         0.0000         0.0000         1.0000
   52. C2H3CHO               2       428.8000         4.9580         2.9000         0.0000         1.0000
   53. PC4H9                 2       352.0000         5.2400         0.0000         0.0000         1.0000
   54. C4H8-1                2       355.0000         4.6500         0.0000         0.0000         1.0000
   55. C4H71-3               2       357.1000         4.7200         0.0000         0.0000         1.0000
   56. C4H6                  2       357.0000         4.7200         0.0000         0.0000         1.0000
   57. C4H3                  1       357.0000         5.1800         0.0000         0.0000         1.0000
   58. C4H2                  1       357.0000         4.7200         0.0000         0.0000         1.0000
   59. C5H6                  1       408.0000         5.2000         0.0000         0.0000         1.0000
   60. C5H5                  1       408.0000         5.2000         0.0000         0.0000         1.0000
   61. CH2OHCH2CHO           2       503.0720         5.3390         1.6700         7.0160         1.0000
   62. C4H6O2                2       496.0000         5.2000         0.0000         0.0000         1.0000
   63. C5H7                  2       408.0000         5.2000         0.0000         0.0000         1.0000
   64. CYC6H8                2       468.5000         5.2300         0.0000        10.3000         1.0000
   65. C6H5O                 2       450.0000         5.5000         0.0000         0.0000         1.0000
   66. CYC5H4O               2       450.0000         5.5000         0.0000         0.0000         1.0000
   67. C5H5O                 2       450.0000         5.5000         0.0000         0.0000         1.0000
   68. INDENYL               2       588.6000         5.9600         0.0000         0.0000         1.0000
   69. C10H7OH               2       663.4500         6.3620         0.0000         0.0000         1.0000
   70. C10H7O                2       630.4000         6.1800         0.0000         0.0000         1.0000
   71. C3H4O3                2       435.2000         4.6620         2.7000         0.0000         1.0000
   72. FURFURAL              2       524.6900         5.6530         0.0000         0.0000         1.0000
   73. C4H3O                 2       425.9290         5.0150         0.0000         0.0000         1.0000
   74. C6H10O5               2       568.5000         5.2300         0.0000        10.3000         1.0000
   75. C6H8O4                2       568.5000         5.2300         0.0000        10.3000         1.0000
   76. C6H6O3                2       567.8410         5.9150         0.0000         0.0000         1.0000
   77. C7H6O3                2       450.0000         5.5000         0.0000         0.0000         1.0000
   78. RC7H5O3               2       450.0000         5.5000         0.0000         0.0000         1.0000
   79. MACRIL                2       430.1000         5.8330         0.0000         0.0000         1.0000
   80. MCROT                 2       468.5000         5.2300         0.0000         0.0000         1.0000
   81. MLINO                 2       750.0000         8.3500         0.0000         0.0000         1.0000
   82. RMBX                  2       468.5000         5.2300         0.0000         0.0000         1.0000
   83. RME7                  2       556.8200         6.4100         1.7000        16.1400         1.0000
   84. RMLINA                2       750.0000         8.3500         0.0000         0.0000         1.0000
   85. RMLINX                2       750.0000         8.3500         0.0000         0.0000         1.0000
   86. CH3COCH3              2       435.5000         4.8600         0.0000         0.0000         1.0000
   87. FURAN                 1       357.0000         5.1800         0.0000         0.0000         1.0000
------------------------------------------------------------------------------------------------------------------


------------------------------------------------------------------------------------------------------------------
  Species                  Shape       eps/kb          sigma             mu           alfa        zRot298         
------------------------------------------------------------------------------------------------------------------
    1. CH4                   2       141.4000         3.7460         0.0000         2.6000        13.0000
    2. CH3OH                 2       481.8000         3.6260         0.0000         0.0000         1.0000
    3. HOCHO                 2       436.0000         3.9700         0.0000         0.0000         2.0000
    4. C2H6                  2       247.5000         4.3500         0.0000         0.0000         1.5000
    5. C2H5OH                2       470.6000         4.4100         0.0000         0.0000         1.5000
    6. C2H5CHO               2       435.2000         4.6620         2.7000         0.0000         1.0000
    7. CH3CO2H               2       436.0000         3.9700         0.0000         0.0000         2.0000
    8. C6H5OH                2       450.0000         5.5000         0.0000         0.0000         1.0000
    9. CRESOL                2       621.1000         5.6400         0.0000         0.0000         1.0000
   10. C5H8O4                2       568.5000         5.2300         0.0000        10.3000         1.0000
   11. VANILLIN              2       450.0000         5.5000         0.0000         0.0000         1.0000
   12. C6H5OCH3              2       450.0000         5.5000         0.0000         0.0000         1.0000
   13. C24H28O4              2       750.0000         8.3500         0.0000         0.0000         1.0000
   14. U2ME12                2       620.0000         8.0000         0.0000         0.0000         1.0000
   15. N2                    1        97.5300         3.6210         0.0000         1.7600         4.0000
   16. H2                    1        38.0000         2.9200         0.0000         0.7900       280.0000
   17. H                     0       145.0000         2.0500         0.0000         0.0000         0.0000
   18. O2                    1       107.4000         3.4580         0.0000         1.6000         3.8000
   19. O                     0        80.0000         2.7500         0.0000         0.0000         0.0000
   20. H2O                   2       572.4000         2.6050         1.8440         0.0000         4.0000
   21. OH                    1        80.0000         2.7500         0.0000         0.0000         0.0000
   22. H2O2                  2       107.4000         3.4580         0.0000         0.0000         3.8000
   23. HO2                   2       107.4000         3.4580         0.0000         0.0000         1.0000
   24. CO                    1        98.1000         3.6500         0.0000         1.9500         1.8000
   25. CO2                   1       244.0000         3.7630         0.0000         2.6500         2.1000
   26. CH3                   1       144.0000         3.8000         0.0000         0.0000         0.0000
   27. CH3O                  2       417.0000         3.6900         1.7000         0.0000         2.0000
   28. CH2OH                 2       417.0000         3.6900         1.7000         0.0000         2.0000
   29. CH2O                  2       498.0000         3.5900         0.0000         0.0000         2.0000
   30. HCO                   2       498.0000         3.5900         0.0000         0.0000         0.0000
   31. C2H5                  2       247.5000         4.3500         0.0000         0.0000         1.5000
   32. C2H4                  2       238.4000         3.4960         0.0000         0.0000         1.5000
   33. C2H3                  2       265.3000         3.7210         0.0000         0.0000         1.0000
   34. C2H2                  1       265.3000         3.7210         0.0000         0.0000         2.5000
   35. C2H                   1       265.3000         3.7210         0.0000         0.0000         2.5000
   36. CH3CHO                2       436.0000         3.9700         0.0000         0.0000         2.0000
   37. CH3CO                 2       436.0000         3.9700         0.0000         0.0000         2.0000
   38. CH2CHO                2       436.0000         3.9700         0.0000         0.0000         2.0000
   39. CH2CO                 2       436.0000         3.9700         0.0000         0.0000         2.0000
   40. HCCO                  2       150.0000         2.5000         0.0000         0.0000         1.0000
   41. HCOOH                 2       470.6000         3.8550         0.0000         0.0000         1.0000
   42. CH2OHCHO              2       496.0000         5.2000         0.0000         0.0000         1.0000
   43. CHOCHO                1       440.2000         4.0100         0.0000         0.0000         2.0000
   44. NC3H7                 2       303.4000         4.8100         0.0000         0.0000         1.0000
   45. C3H6                  2       307.8000         4.1400         0.0000         0.0000         1.0000
   46. C3H5-A                2       316.0000         4.2200         0.0000         0.0000         1.0000
   47. C3H5O                 2       411.0000         4.8200         0.0000         0.0000         1.0000
   48. C3H4-P                1       324.8000         4.2900         0.0000         0.0000         1.0000
   49. C3H4-A                1       324.8000         4.2900         0.0000         0.0000         1.0000
   50. C3H3                  1       324.8000         4.2900         0.0000         0.0000         1.0000
   51. C3H2                  2       209.0000         4.1000         0.0000         0.0000         1.0000
   52. C2H3CHO               2       428.8000         4.9580         2.9000         0.0000         1.0000
   53. PC4H9                 2       352.0000         5.2400         0.0000         0.0000         1.0000
   54. C4H8-1                2       355.0000         4.6500         0.0000         0.0000         1.0000
   55. C4H71-3               2       357.1000         4.7200         0.0000         0.0000         1.0000
   56. C4H6                  2       357.0000         4.7200         0.0000         0.0000         1.0000
   57. C4H3                  1       357.0000         5.1800         0.0000         0.0000         1.0000
   58. C4H2                  1       357.0000         4.7200         0.0000         0.0000         1.0000
   59. C5H6                  1       408.0000         5.2000         0.0000         0.0000         1.0000
   60. C5H5                  1       408.0000         5.2000         0.0000         0.0000         1.0000
   61. CH2OHCH2CHO           2       503.0720         5.3390         1.6700         7.0160         1.0000
   62. C4H6O2                2       496.0000         5.2000         0.0000         0.0000         1.0000
   63. C5H7                  2       408.0000         5.2000         0.0000         0.0000         1.0000
   64. CYC6H8                2       468.5000         5.2300         0.0000        10.3000         1.0000
   65. C6H5O                 2       450.0000         5.5000         0.0000         0.0000         1.0000
   66. CYC5H4O               2       450.0000         5.5000         0.0000         0.0000         1.0000
   67. C5H5O                 2       450.0000         5.5000         0.0000         0.0000         1.0000
   68. INDENYL               2       588.6000         5.9600         0.0000         0.0000         1.0000
   69. C10H7OH               2       663.4500         6.3620         0.0000         0.0000         1.0000
   70. C10H7O                2       630.4000         6.1800         0.0000         0.0000         1.0000
   71. C3H4O3                2       435.2000         4.6620         2.7000         0.0000         1.0000
   72. FURFURAL              2       524.6900         5.6530         0.0000         0.0000         1.0000
   73. C4H3O                 2       425.9290         5.0150         0.0000         0.0000         1.0000
   74. C6H10O5               2       568.5000         5.2300         0.0000        10.3000         1.0000
   75. C6H8O4                2       568.5000         5.2300         0.0000        10.3000         1.0000
   76. C6H6O3                2       567.8410         5.9150         0.0000         0.0000         1.0000
   77. C7H6O3                2       450.0000         5.5000         0.0000         0.0000         1.0000
   78. RC7H5O3               2       450.0000         5.5000         0.0000         0.0000         1.0000
   79. MACRIL                2       430.1000         5.8330         0.0000         0.0000         1.0000
   80. MCROT                 2       468.5000         5.2300         0.0000         0.0000         1.0000
   81. MLINO                 2       750.0000         8.3500         0.0000         0.0000         1.0000
   82. RMBX                  2       468.5000         5.2300         0.0000         0.0000         1.0000
   83. RME7                  2       556.8200         6.4100         1.7000        16.1400         1.0000
   84. RMLINA                2       750.0000         8.3500         0.0000         0.0000         1.0000
   85. RMLINX                2       750.0000         8.3500         0.0000         0.0000         1.0000
   86. CH3COCH3              2       435.5000         4.8600         0.0000         0.0000         1.0000
   87. FURAN                 1       357.0000         5.1800         0.0000         0.0000         1.0000
------------------------------------------------------------------------------------------------------------------


---------------------------------------------------------------------------------------
                                  CHEMICAL REACTIONS                                   

                          Units: [mol, cm3, s] and [cal/mol]                           
---------------------------------------------------------------------------------------


      1. H2 +M  = 2H +M 
         k:       4.577000e+19	   -1.40     104400.00
         Third body efficiencies
         H2                  	enhanced by	   2.500
         H2O                 	enhanced by	  12.000
         CO                  	enhanced by	   1.900
         CO2                 	enhanced by	   3.800
         CH4                 	enhanced by	   2.000
         C2H6                	enhanced by	   3.000


      2. H2 + O  = H + OH 
         k:       5.080000e+04	    2.67       6292.00


      3. H2 + OH  = H + H2O 
         k:       4.380000e+13	    0.00       6990.00


      4. 2O +M  = O2 +M 
         k:       6.165000e+15	   -0.50          0.00
         Third body efficiencies
         H2                  	enhanced by	   2.500
         H2O                 	enhanced by	  12.000
         CO                  	enhanced by	   1.900
         CO2                 	enhanced by	   3.800
         CH4                 	enhanced by	   2.000
         C2H6                	enhanced by	   3.000


      5. H + O2  = O + OH 
         k:       1.140000e+14	    0.00      15286.00


      6. H + OH +M  = H2O +M 
         k:       3.500000e+22	   -2.00          0.00
         Third body efficiencies
         H2                  	enhanced by	   0.730
         H2O                 	enhanced by	   3.650
         CH4                 	enhanced by	   2.000
         C2H6                	enhanced by	   3.000


      7. O + H2O  = 2OH 
         k:       6.700000e+07	    1.70      14986.80


      8. H + O +M  = OH +M 
         k:       4.714000e+18	   -1.00          0.00
         Third body efficiencies
         H2                  	enhanced by	   2.500
         H2O                 	enhanced by	  12.000
         CO                  	enhanced by	   1.500
         CO2                 	enhanced by	   2.000
         CH4                 	enhanced by	   2.000
         C2H6                	enhanced by	   3.000


      9. H2O2 (+M)  = 2OH (+M) 
         Fall-off (Troe)
